finding,original_severity,title,author_disposition,independent_disposition,correction_commits,original_evidence,corrected_evidence,independent_reasoning
F1,FATALE,"Les deux scripts de vérification ne sont **pas** dans le bundle, ni dans le commit",ACCEPTED,RESOLVED,6c77300,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:11,RECOVERY/scripts/,Both verification scripts enter Git before the supplied final bundle. Git history and final presence verified; the first fe6b631 bundle omitted them.
F2,FATALE,"Le McNemar « 9 contre 0, p = 0,0039 » n'existe que par la chaîne de caractères",ACCEPTED,RESOLVED,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:25,DELIVERABLES/MS_EDL_NONEXCHANGEABILITY_v0.2.md:113,The erroneous 9-versus-0 event test is removed. Paired whole-world mortality 11/1/1/28 independently matches 82 raw reads; its two-sided sign p=.00634765625 is descriptive of that endpoint.
F3,FATALE,« The programme has recorded per-step connectivity exposure » : le fichier est vide,ACCEPTED,RESOLVED,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:38,DELIVERABLES/MS_EDL_NONEXCHANGEABILITY_v0.2.md:336,The empty connectivity record set and need to re-read raw are explicitly stated. Original JSON remains 1186 bytes with no observations. Raw availability is now independently repaired in the parent audit.
F4,FATALE,Le dimensionnement du §4 est faux d'un facteur ≈ 2 ; « 45 s méd. » et « 337 s max » ne sont dans aucun artefact,ACCEPTED,RESOLVED_WITH_LIMITS,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:48,DELIVERABLES/RAPPORT_DECISION_EDL_20260904.md:434,Runtime mean89.3809/median85.1/max627.6 and batch proxy10.8514h reproduce. The105.4774h projection is conditional on historical throughput. The power estimate is separately limited; no future guarantee follows.
F5,FATALE,"« Aucune expérience n'est justifiée » est sur-déterminée : l'adjudication acceptée du programme nomme quatre routes, vous en examinez une",ACCEPTED,ADDRESSED_NOT_EXHAUSTIVE,c363afd;0fdc550;23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:69,CCRA01/out/CCRA01_PREREGISTRATION.md,"CCRA01 was specified and executed on existing data, and two additional raw-data routes are left open. This addresses the omitted route. It does not prove that every possible new experiment lacks value, nor that the replacement ordinal estimand resolves the mechanism."
F6,PORTANTE,« la seule chose corroborée par deux campagnes indépendantes » est fausse par votre propre matrice,ACCEPTED,RESOLVED_WITH_SCOPE,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:93,DELIVERABLES/CLAIM_EVIDENCE_MATRIX.md:C11,"The uniqueness claim is withdrawn and a second recorded phenomenon is named. This is correction of an unwarranted superlative, not an exhaustive audit of all possible corroborations."
F7,PORTANTE,Le profil des 33 paires d'OMLDCT02 **contredit** la thèse centrale au lieu de la corroborer,ACCEPTED,RESOLVED_WITH_SCOPE,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:105,DELIVERABLES/MS_EDL_NONEXCHANGEABILITY_v0.2.md:84,"The title uses suppresses and the text qualifies MERGE availability when only one component is present. The earlier33-pair profile is still cited, not independently reconstructed in this subtask. Current82 raw reads confirm the41-pair occupancy."
F8,PORTANTE,"La puissance projetée : la méthode est licite, la conclusion « n ≈ 400 » n'a aucune précision, et la puissance gelée du programme est tue",ACCEPTED,PARTIAL,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:117,DELIVERABLES/MS_EDL_NONEXCHANGEABILITY_v0.2.md:237,"Observed-effect power, uncertainty, and historical design assumptions are now disclosed. But no bootstrap script/RNG/output is supplied; monotone-of-one-p and compatible-truth probabilities overstate the calculation. Non-rejection does not prove the original assumed power false."
F9,PORTANTE,"La contamination (checker F7 / CLOSE01 F5) est absente des trois documents, et elle est vérifiable ici",ACCEPTED,PARTIAL,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:133,DELIVERABLES/MS_EDL_NONEXCHANGEABILITY_v0.2.md:302,"Prior correlated-outcome exposure is disclosed. The unconditional claim that selection cannot inflate type-I error is not demonstrated; fixed-test arithmetic and selection-valid inference differ. The CCRA specifier blinding is declared, not independently logged."
F10,PORTANTE,« 12/41 contre 2/41 » est un cadrage causal formellement retiré,ACCEPTED,RESOLVED,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:143,DELIVERABLES/MS_EDL_NONEXCHANGEABILITY_v0.2.md:121,The paired four-cell mortality table replaces causal shorthand12vs2. Independently recovered indices give11/1/1/28.
F11,PORTANTE,"« 123 archives toutes vérifiées » au présent : phrase retirée, et démentie par la dernière exécution de la porte",ACCEPTED,RESOLVED,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:153,DELIVERABLES/CLAIM_EVIDENCE_MATRIX.md:A9,Sealed historical byte verification is distinguished from GATE01 missing123; absence is distinguished from mismatch. Parent recovery now supplies the123 originals/reconstructed historical same-seed archives.
