CLAIM_ID,MANUSCRIPT_LOCATION,FINAL_CLAIM,EVIDENCE_FILE,JSON_PATH_OR_CODE,EVIDENCE_LEVEL,LIMIT_OR_CONTRADICTION,EDITORIAL_ACTION,SOURCE_SHA256,REPRODUCTION
C01,Abstract; Results 3.1; Discussion,"28 fresh arms, 14 per condition; all included",paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,fresh_arms,RAW_RECOMPUTED,One implementation and parameter point; not new V2 runs,RETAIN,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C02,Abstract; Methods 2.3; Discussion,Prediction is conditional on measured historical birth-flux law,SEAL01/out/_seal_adjudication.json,PREDICTION_MODE,SEALED_INTERPRETATION,Input conditioning remains even when sensitivity is weak,REDUCE_UNCONDITIONAL_CLAIM,aa4b3cefac080727968dea4ca31e91030f061815ba927dee6211a80791b30ee4,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C03,Abstract; Results 3.1; Table 1,Static point deviation lies within frozen margin,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,endpoints/static,RAW_RECOMPUTED,Point-rule success is not pre-registered interval equivalence,RETAIN_WITH_QUALIFICATION,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C04,Abstract; Results 3.1; Table 1,Mobile point deviation lies within frozen margin,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,endpoints/mobile,RAW_RECOMPUTED,Same scope and predictor uncertainty,RETAIN_WITH_QUALIFICATION,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C05,Abstract; Results 3.1; Table 1,Ratio point deviation lies within frozen margin,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,endpoints/ratio,RAW_RECOMPUTED,"Disjoint seeds, not paired; diagnostic SE scale corrected",RETAIN_WITH_QUALIFICATION,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C06,Methods 2.4; Results 3.1,Pre-run decision used a point tolerance of 2.9 percent,OBFOR01/out/_freeze.json,RESIDUAL_TOLERANCE/RULE,FROZEN_PROTOCOL,Not an interval rule or externally timestamped preregistration,CORRECT_PREREGISTRATION_SCOPE,b3624cb92822cc805904304ea93876bc092e8796e9ea740582062bbd7b44acc6,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C07,Abstract; Results 3.2; Discussion; Figure 2,Historical-copy baseline passes all three point criteria,SEAL01/out/OBFOR01_SEAL_REPAIR_EVIDENCE.json,R4_DISCRIMINATING_POWER/NULL_SCORED_ON_THE_THREE_FROZEN_ENDPOINTS,POST_OUTCOME_BASELINE_COMPARISON,Baseline evaluation is later; inputs existed earlier,ADD_LIMIT_ON_DISCRIMINATION,8a13cf2db2d4ac37ba68a88732dedaf77c226ab599a236ffb9c6a55bc9af1e35,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C08,Abstract; Results 3.2; Figure 4,No-shared-path frozen variant misses mobile point tolerance,SEAL01/out/OBFOR01_SEAL_REPAIR_EVIDENCE.json,R4_DISCRIMINATING_POWER/WHAT_THE_TEST_DOES_REJECT/the model with the shared trajectory removed,SEALED_COMPARISON_RECOMPUTABLE,"Evidence within the examined constructions, not unique mechanism proof",REDUCE_CAUSAL_GENERALIZATION,8a13cf2db2d4ac37ba68a88732dedaf77c226ab599a236ffb9c6a55bc9af1e35,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C09,Results 3.2; Figure 4,Ideal reference misses mobile point tolerance,SEAL01/out/OBFOR01_SEAL_REPAIR_EVIDENCE.json,R4_DISCRIMINATING_POWER/WHAT_THE_TEST_DOES_REJECT/the uncorrected ideal operator,SEALED_COMPARISON_RECOMPUTABLE,Static ideal endpoint passes; no full operator validation,RETAIN_WITH_QUALIFICATION,8a13cf2db2d4ac37ba68a88732dedaf77c226ab599a236ffb9c6a55bc9af1e35,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C10,Abstract; Results 3.3; Discussion,Large birth-flux-shape effect and sign are not sustained,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,replicates,STORED_PREDICTOR_REPLICAS_RECOMPUTED,"16 stored replicas per condition, not fresh engine arms",WITHDRAW_1P27_PP_MECHANISM,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C11,Results 3.3; Figure 4,Poisson variant also passes the point criterion,OBFOR01/out/_adjudication.json,ABLATION/predictions,FROZEN_PREDICTIONS_WITH_LATER_COMPARISON,A larger distance ratio does not imply rejection,WITHDRAW_4P5_DISTANCE_AS_REJECTION,fe108f5dba130c99b1cac84b79112afbe202b05fa96bc076c20239918c2c6fb5,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C12,Results 3.3,Birth-flux factorial effect and interaction are not supporting mechanisms,SEAL01/out/OBFOR01_SEAL_REPAIR_EVIDENCE.json,R1_BIRTH_FLUX_ABLATION_REPLICATED/CONSEQUENCE,SEALED_WITHDRAWAL,Old numeric decomposition remains in frozen source only,WITHDRAW_FACTORIAL_CLAIM,8a13cf2db2d4ac37ba68a88732dedaf77c226ab599a236ffb9c6a55bc9af1e35,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C13,Abstract; Results 3.4; Discussion; Table 2; Figure 3,Historical residual depends on terminal-population inclusion,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,historical_levels,RAW_RECOMPUTED_DEVELOPMENTAL,Nested sets; even widest level requires final Y and finite radius,REDUCE_UNCONDITIONAL_HISTORICAL_DEFICIT,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C14,Results 3.4,Fresh sample has no historical population-selection filter,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,fresh_arms,RAW_RECOMPUTED,All declared fresh arms included; no general claim for other experiments,RETAIN,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C15,Methods 2.1,Frozen lattice parameters and only source mobility differ,OBFOR01/out/_freeze.json,FREEZE_MANIFEST,FROZEN_METHOD,Not a sweep or densely blocked regime,RETAIN,b3624cb92822cc805904304ea93876bc092e8796e9ea740582062bbd7b44acc6,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C16,Methods 2.1; Supplement S1,"Four sequential directed transport passes, reaction, decay and reservoir exchange",ORR01/code/kinetics.py,World._diffuse; World._one_step,SOURCE_CODE,Sequential passes are not one exclusive hop per step,CORRECT_METHOD_PRECISION,d6b9e24daefd9a9ddd42780fa24da444a344a2773bb7836a8e168e44f026c4c4,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C17,Methods 2.1; Supplement S1,Reservoir uses balanced exchange,ORR01/code/lawspec_v2.py,WorldV2._exchange,SOURCE_CODE,Exact pool and split-feed stream in code,CORRECT_METHOD_PRECISION,899b7158746d83fafe619b7308b31bdab4351a1e34cd3bb4e48d9b5609bbdf94,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C18,Methods 2.2; Supplement S1,Radius about source; arm median then condition mean; 180 post-burn frames,OBFOR01/code/run_obfor01.py,run_arm,FROZEN_METHOD_AND_RAW_CHECK,Intermediate lattice snapshots absent; final radius independently checked,RETAIN_WITH_LIMIT,b205dfd9aa5804844fbdbc2ed80e8c4fe24676317bdf88b40093c12b89743e2b,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C19,Methods 2.3; Figure 1,Shared source path is simulated; birth law measured from 40 historical arms,OBFOR01/code/m6_obfor01.py,simulate_arm; empirical_birth_flux,FROZEN_PREDICTOR_SOURCE,No target-derived fresh outcomes enter; not unconditional first principles,CORRECT_INPUT_PROVENANCE,fac31046dc188edff2de47afb1bc2813323060adc83d483f6ae3dfc750a1ab4f,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
