item,status,source,unit,verification,remaining_limit
Claude Sept-4 recovery bundle,VERIFIED_COMPLETE_GIT_BUNDLE,september4/EDL_RECOVERY_20260904.bundle; SHA256 8c43b31d9311fa2cb51bab9fd055c1286eafe0b091d96bcd3ec0e106d934d46f,263 final snapshot files,git bundle verify; b391a739; exact blob manifest; eight commits inspected,"Recorded history verifies order, not actual outcome blinding"
TBRT02 raw,VERIFIED_SEALED_BYTES,recovery/TBRT02_raw; original Documents/ising v3/TBRT02/TRIPLE_*.tar,123 NPZ / 41 triples,123 hashes match sealed ledger; content checks pass,9 files at indices 793 827 866 historically reconstructed from same seeds; not independent replication
FDFLT01 endpoint core,VERIFIED_FROM_RAW_CORE,recovery/FDFLT01_core; original ISING_LIFE_AUTHORITATIVE_RECOVERY/FDFLT01/rawcore/FDFLT01_RAW_CORE.tar.zst,192 worlds / 1291322 recorded rows,53 successes; cell/event reconstruction; 5184 field comparisons all match,Five non-X intermediate field planes absent; operational two-centre endpoint only
FDFLT01 full original NPZ,FULL_PACKAGE_NOT_RECOVERED,FDFLT01/out/FDFLT01_RAW_MANIFEST.json,192 full NPZ / 1166057316 bytes,Manifest available; not byte identity to core,Full-array manifest cannot be used as hash of reduced core
FDFLT01 methods capsule,VERIFIED_WITH_DOCUMENTARY_DISCREPANCY,recovery/capsules/fdflt-methods; FDFLT01/out/FDFLT01_METHODS_MANIFEST.json,20 modules + 8 inputs,28 hashes and methods digest pass,Durability JSON outer capsule hash disagrees with actual bytes and sidecar
OMLDCT03,VERIFIED_SAME_DATA_OUTSIDE_ACCRUAL,results/OMLDCT03_INDEPENDENT.json,41 paired original worlds,492 endpoint comparisons and 12 statistics match,ERRATUM: 512 two-arm ceiling crossed at index 789 with 38 pairs; 12 pre-fork triggers excluded from continuation cost; CI index error; competing terminations
TBRT02 connectivity exposure,PRESENT_WITH_ZERO_OBSERVATIONS,TBRT02/out/TBRT02_CONNECTIVITY_EXPOSURE.json,1186 bytes / 0 records,7 sidecar hashes pass,No connectivity observations support an exposure claim
Candidate B,VERIFIED_CORE_RESULTS,candidate_b/SNAPSHOT_MANIFEST.json; results/CANDIDATE_B_INDEPENDENT.json,50 primary / 21 valid worlds,191 source hashes; 50 raw hashes; 03M rerun plus new causal/ridge implementation,Engineered passive copy; finite scopes; no proof of absent ownership; no external validation
Candidate A / PR34,VERIFIED_PRIOR_PHASE_SAME_CONVERSATION,22ce04d50f2b3ab25b39cbdc1ec5c3c89570e3c6,28 arms plus historical inputs,Earlier complete V2 audit retained; current pinned source read,Conditional point compatibility; baseline also passes; no new A reanalysis here
CCRA01 specification and blinding,ORDER_VERIFIED_BLINDING_UNKNOWN,september4_adjudication/SEPTEMBER4_ADJUDICATION_FR.md,41 paired worlds / historical documents,"Raw recomputation, differential replay, commit-by-commit matrix",Separate pre-result commit; blinding declaration not independently verified
