L,seed,arm,per_event_site_records,time,event,site,mass_before,fresh_mass_added,mass_after,graph_distance_to_current_track,graph_distance_to_frozen_C256,occupancy_threshold,occupied_after,n_shell_preload_decisions,n_remote_halo_decisions,shell_preload_decision_fraction,remote_halo_mass_exactly_zero,engine_steps_since_injection,RECONSTRUCTIBLE_WITHOUT_ENGINE,proof_of_absence
24,980000,SHAM,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,n/a,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980000,D1_LEGACY_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,1,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980000,D1_REDESIGNED_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",1,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,541,0,1.0,True,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980000,D2_REDESIGNED_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,630,57,0.9170305676855895,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980000,D2_REDESIGNED_Q020,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,1226,25,0.9800159872102319,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980000,D2_REDESIGNED_Q050,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,681,26,0.9632248939179632,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980000,D2_REDESIGNED_Q100,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,307,25,0.9246987951807228,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980000,DIRECT_INTERFACE_Q100,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,inside,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980001,SHAM,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,n/a,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980001,D1_LEGACY_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,1,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
